Comment doit être déterminé l'ordre sur les listes APPEL CITOYEN ?;Choisissez les candidates (femmes) pour qui vous voulez voter;Choisissez les candidats (hommes) pour qui vous voulez voter;confirmation
ordre alphabetique;Sophie Ducrey;Johan Rochel;0c2ddc88-35bd-420e-8f90-f9f8706c190b
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Claudine Oggier;Bertrand Girard, Jérome Lehmann, Matthieu Monnard, Nicolas Muzzetto, Jo Piller, Johan Rochel, Christian Vial;bed739ae-935c-498b-a14f-18fc607daf3c
Voix recues lors de la primaire;Aferdita Bogiqi, Stéphanie Dubosson, Sophie Ducrey, Ekaterina Lenoir, Caroline Mariétan, Yasmina Mudry, Christel Rey-Mermet;Bertrand Girard, Matthieu Monnard, Johan Rochel;89341172-e587-477f-b22e-d1759ab08282
ordre alphabetique;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Amel Mahfoudh, Christel Rey-Mermet;Robert Burri, Bertrand Girard, Matthieu Monnard, Jo Piller, Johan Rochel;a3fe53d4-aa26-4cd1-8d7a-96b00d7c974a
Voix recues lors de la primaire;Caroline Mariétan;Thierry Bueche, Jo Piller;75bbe1c6-3a5c-44ab-8d7f-976f4354c1cd
Tirage au sort;;Nicolas Muzzetto;8f35af1b-b31f-434f-8e3b-7523007f5f99
Je Mabstiens de repondre a cette question;Catherine Breu, Françoise Gay-Truffer, Amel Mahfoudh;Bernard Oberholzer, Yves Puippe, Johan Rochel;d03936ca-c05b-4e25-92a5-900acf3090b1
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Hélène Gonet, Caroline Mariétan, Yasmina Mudry;André Bonvin, Bertrand Girard, Bernard Oberholzer, Natan Rippa, Johan Rochel;21e8583e-5025-40d1-ab88-5b2f14263bb2
Voix recues lors de la primaire;Stéphanie Dubosson;Johan Rochel;ed817fa3-6774-4e33-b52a-fb60e3df6c5d
Voix recues lors de la primaire;Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Hélène Gonet, Caroline Mariétan, Christel Rey-Mermet;Bertrand Girard, Jérome Lehmann, Matthieu Monnard, Nicolas Muzzetto, Joël Rey-Mermet, Natan Rippa;1386f80e-79ec-46ed-9e22-94bccc5b75d5
Voix recues lors de la primaire;;Bertrand Girard, Matthieu Monnard, Bernard Oberholzer, Johan Rochel;4948d4f3-ae04-4177-a2ba-db68a88d82df
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Sophie Ducrey, Hélène Gonet, Amel Mahfoudh, Caroline Mariétan;Robert Burri, Matthieu Monnard, Bernard Oberholzer, Jo Piller, Joël Rey-Mermet;a1cb299f-6b4f-47e1-8fb5-c8a7b5dc9c65
Voix recues lors de la primaire;Catherine Breu, Stéphanie Dubosson, Ekaterina Lenoir, Claudine Oggier;André Bonvin, Bernard Oberholzer, Natan Rippa, Johan Rochel, Christian Vial;b79aa8da-0952-4264-8ea0-b2446d0693ff
Tirage au sort;Aferdita Bogiqi, Catherine Breu, Caroline Mariétan;André Bonvin, Thierry Bueche, Nicolas Muzzetto, Jörg Rickenmann, Johan Rochel, Christian Vial;aec29ad3-f971-4a6d-88ae-23858141e74d
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey, Caroline Mariétan, Yasmina Mudry, Christel Rey-Mermet;Thierry Bueche, Didier Cachat, Bertrand Girard, Bernard Oberholzer, Yves Puippe, Joël Rey-Mermet, Johan Rochel;0dc31dad-ee46-4b71-85e1-1036442fa12e
Voix recues lors de la primaire;Aferdita Bogiqi, Catherine Breu, Stéphanie Dubosson, Sophie Ducrey;André Bonvin, Joël Rey-Mermet, Jörg Rickenmann;19593e48-b30f-4ca8-97c6-00a950e38762
